name,estimated_number
Casey,176544.328149
Riley,154860.66517300002
Jessie,136381.830656
Jackie,132928.78874000002
Avery,121797.41951600001
Jaime,109870.18729000002
Peyton,94896.39521599999
Kerry,88963.92625
Jody,80400.519199
Kendall,79210.873961
Payton,64151.630388
Skyler,53486.390419
Frankie,51288.068109
Pat,44781.602373
Quinn,41920.940058
Harley,41237.565743
Reese,36360.520613
Robbie,32636.047648000003
Tommie,29528.793818000002
Justice,27350.56457
Kris,24955.811341999997
Carey,24790.097053999998
Emerson,24167.154361
Blair,23160.101097
Amari,22296.161372
Elisha,22184.559374
Sage,21336.062278
Emery,18844.118877
Stevie,18665.219122
Rowan,18367.420464
Ollie,17889.750339
Shea,16768.891880000003
Jaylin,15093.192038999998
Phoenix,14841.367875999998
Charley,12546.265781999999
Armani,12541.667755
Devyn,12515.023073999999
Ivory,11908.580714
Kendal,11841.403479999999
Baby,11132.855753
Mckinley,10972.533414
Finley,10194.618867000001
Milan,9971.955937
Tory,9837.844335
Shay,9444.894035
Shiloh,8999.08523
Lavern,8776.346296
Sky,8386.640072
Reilly,8300.824693
Leighton,8281.601797
Santana,7922.713789
Arden,7773.147359999999
Campbell,7728.956865000001
Channing,7626.335577
Kamari,7584.893909
Alva,7496.35069
Clair,7148.894728
Lavon,7107.834786
Kenyatta,7063.611274
Britt,6852.95455
Vernell,6729.462903000001
Michal,6558.698679
Austyn,6228.961464999999
Rian,6139.851240999999
Dominque,6101.13501
Remy,6094.667878
Jammie,6013.444775
Ricki,5847.272146
Jordin,5770.788278
Trinidad,5747.944235
Ryley,5685.538724
Carrol,5513.606968
Landry,5449.51046
Lorin,5428.15538
Yael,5232.374916
Codi,4805.328209
Sloan,4796.882097
Jael,4472.71492
Kodi,4428.704313
Azariah,4420.560847
Dakotah,4388.8520229999995
Lorenza,4249.273719
Artie,4230.139897
Maxie,4123.46784
Torey,4058.5889740000002
Tai,4017.9162969999998
Kalani,4012.3161229999996
Codie,3998.8169869999997
Storm,3960.5374460000003
Jaedyn,3913.0768840000005
Merritt,3843.5606700000003
Allyn,3801.3328060000003
Jourdan,3781.556602
Yuri,3774.699243
Ellery,3738.814883
Oakley,3728.7983289999997
Gentry,3703.829157
Ellison,3651.546836
Arin,3634.974321
Sol,3624.9805439999996
Carrington,3616.3836
Dell,3615.0332759999997
Carlin,3554.951422
Lennie,3533.447279
Dru,3445.961147
Alpha,3406.676728
Kiran,3405.6976219999997
Tristyn,3336.366181
Camdyn,3274.913501
Krishna,3270.049176
Demetrice,3200.883393
Berkley,3184.6592739999996
Linden,3155.870202
Mikah,3094.0632379999997
Parris,3064.315071
Kalin,3021.240034
Kary,3020.9687059999997
Arie,3014.1230010000004
Aries,2964.7565329999998
Rio,2960.4438010000003
Sutton,2930.892868
Rhyan,2900.188369
Isa,2895.497837
Arlyn,2893.945006
Karsen,2872.427405
Seneca,2856.367471
Callan,2809.37665
Garnett,2797.598866
Micaiah,2749.93498
Christan,2684.978836
Aris,2549.033763
Tylar,2540.224111
Brighton,2534.958718
Merlyn,2500.628691
Kimani,2492.6957780000002
Salem,2484.362235
Barrie,2480.799063
Braylin,2476.689792
Charly,2473.36083
Ocean,2470.958543
Ara,2398.501272
Deane,2395.830649
Andree,2375.252032
Natividad,2343.4819039999998
Ardell,2327.065702
Divine,2322.744419
Ocie,2299.2449699999997
Lakota,2298.545252
Ashtin,2291.99335
Larkin,2267.588897
Kamdyn,2266.0110670000004
Waverly,2239.462468
Claudie,2203.6044690000003
Lannie,2182.972994
Vernie,2155.660129
Adair,2154.719944
Kaidyn,2139.577902
Verdell,2133.742154
Jae,2106.066765
Aven,2090.0594969999997
Kodie,2069.6383920000003
Shalom,2060.5958739999996
Daylin,2036.196151
Osiris,1997.239288
Dwan,1990.6460379999999
Lashaun,1977.848391
Ashten,1969.6975940000002
Dann,1959.4458739999998
Shai,1950.9917050000001
Teegan,1945.936273
Micha,1927.9759010000002
Tobie,1921.1876350000002
Jaelin,1910.944988
Marlowe,1893.8144550000002
Kareen,1865.710053
Ryen,1827.6550739999998
Marquette,1795.238032
Joell,1787.3188850000001
Adel,1776.564727
Golden,1763.136515
An,1746.029349
Ossie,1740.230779
Stephane,1724.789877
Vinnie,1711.276531
Armoni,1707.359443
Berlin,1675.592169
Thanh,1671.332281
Jimi,1666.012608
Linn,1654.7473220000002
Marvis,1653.1578
Tam,1647.93815
Kaylon,1644.939332
Kylin,1642.510785
Lajuan,1642.21941
Cameran,1611.747981
Shamari,1601.241909
Teddie,1595.122202
Laramie,1594.6312050000001
Ricci,1585.3125699999998
Jule,1555.296916
Cedar,1552.70581
Drue,1547.492989
Shade,1544.8814300000001
Jeryl,1538.032514
Taylen,1535.983379
Devonne,1534.988374
Delane,1525.850038
Arnell,1518.343435
Earlie,1510.680394
Tenzin,1464.873785
Kendel,1464.373914
Arlis,1462.0830939999998
Ashby,1459.2234050000002
Shia,1450.051376
Berkeley,1447.964706
Lin,1434.757899
Freedom,1419.5886619999999
Rylin,1405.565656
Aaryn,1391.6754779999999
Mykah,1378.630611
Shaya,1373.0472439999999
Tanis,1363.088001
Chancey,1357.860017
Jaidan,1353.840217
Jaydyn,1344.5675099999999
Kaedyn,1342.7232900000001
Talyn,1333.103591
Le,1323.979515
Hartley,1321.569286
Avon,1318.747786
Finnley,1313.456526
Schyler,1311.4051470000002
Rennie,1307.9576880000002
Aly,1298.699031
Kaydin,1293.967349
Camari,1292.5736140000001
Clemmie,1288.247856
Payson,1280.568167
Anay,1278.8241990000001
Devine,1270.283725
Terryl,1263.728601
Bao,1262.070243
Tru,1259.054676
Indiana,1241.572392
Evyn,1234.8999900000001
Deniz,1226.69535
Emari,1223.375248
Davi,1218.88119
True,1201.182194
De,1198.993461
Samar,1195.441393
Kriston,1194.67094
Lian,1191.954576
Brittan,1182.2318289999998
Torre,1176.840612
Shawne,1173.5104390000001
Kailen,1172.8998589999999
Aundra,1172.128503
Halen,1151.043395
Yuki,1144.030879
Marshell,1133.685172
Rivers,1130.701023
Jaziah,1129.100128
Amaree,1110.775383
Mycah,1110.674706
Toy,1108.941987
Tien,1107.223237
Adi,1098.5954160000001
Callahan,1097.1943130000002
Jazz,1093.761948
Reign,1090.493726
Burnice,1082.020651
Jamy,1080.584735
Lavaughn,1073.002013
Adrean,1069.9825130000002
Cache,1066.235232
Britain,1065.194805
Dalyn,1058.212286
Dondi,1055.7544970000001
Dallis,1055.194322
Nazareth,1049.117378
Nieves,1043.052359
Jireh,1040.386483
Collen,1039.818143
Onyx,1034.6819150000001
Raynell,1033.123788
Sonnie,1029.946621
Lyrik,1021.240142
Marice,1011.1573080000001
Lexington,1006.492185
Chi,1000.5135310000001
Eliyah,999.527175
Tonnie,989.2398619999999
Teagen,979.78441
Rudi,970.191498
Kamani,953.5662130000001
Han,951.241973
Jerre,950.8749849999999
Alika,947.321531
Monta,941.0637960000001
Jaydn,935.74131
Hadyn,926.30121
Kem,914.46861
Terrin,910.7775
Wisdom,909.725025
Natale,901.864284
Rossie,892.806341
Lugene,888.284575
Rebel,884.024521
Blayke,882.2342789999999
Donyell,872.649431
Myrl,869.491606
Kaelen,862.728436
Miko,851.474358
Elza,847.5763019999999
Kriss,835.6900009999999
Shadow,825.52436
Raylen,818.709884
Ramey,811.497395
Jaryn,806.5214070000001
Laren,804.308316
Leverne,802.818101
Khali,802.633638
Reiley,800.3377360000001
Jaydee,798.057272
Luan,797.245459
Reily,796.2872629999999
Caidyn,794.561122
Kaylor,794.271472
Juel,790.093471
Amrit,786.642927
Rayn,784.341578
Arien,782.936684
Britten,777.750504
Bela,760.563821
Arliss,758.632888
Aziah,758.4975969999999
Lonie,755.868642
Pasha,748.990463
Caylen,748.902375
Talin,745.096319
Shaune,741.347119
Valen,735.983288
Ozie,735.766434
Dung,735.265634
Avry,731.426697
Zamari,729.95515
Kam,728.774296
Ronit,726.408001
Kelin,719.439015
Teigan,714.664818
Sun,714.643067
Karlin,713.3052610000001
Lenell,702.2653700000001
Jaleen,700.570415
Amory,698.662333
Loghan,692.9096959999999
Kemani,692.781324
Aarin,692.676825
Elizah,692.517245
Maysen,689.180053
Yu,683.489357
Bergen,682.925024
Jalani,673.616259
Jamille,673.479423
Adama,672.7146700000001
Laray,665.522256
Sully,665.5176230000001
Latrelle,665.308862
Onnie,664.3572230000001
Khanh,662.75548
Amil,661.8052309999999
Braylyn,661.5521769999999
Tanay,661.063212
Kailan,659.232761
Caelin,659.158099
Alexandr,656.239956
Daryan,656.138076
Wallis,654.622062
Kelechi,648.648494
Javonne,646.051594
Gean,645.994681
Kao,645.458334
Cypress,642.7546150000001
Tamari,639.3206610000001
Evann,634.337944
Tarren,632.9670070000001
Jeffie,627.715909
Amel,625.482374
Jaspreet,623.708833
Amen,623.660314
Neema,617.783584
Hien,613.08858
Lorren,612.715537
Jonel,612.6505480000001
Kelyn,610.6906190000001
Jodeci,608.1752389999999
Alexy,607.478474
Jayln,606.543254
Chayanne,601.107466
Brittain,598.385006
Selby,595.1274549999999
Akili,591.896442
Kimari,591.479976
Anmol,590.472412
Kirin,590.139974
Min,589.129682
Eri,587.186027
Bralyn,582.7695570000001
Alyn,582.742595
Osie,580.951667
Shiva,580.950328
Kamerin,580.5293320000001
Pheonix,578.3514309999999
Abrar,576.900756
Darnelle,573.536531
Haydin,572.946492
Davonne,559.431911
Makana,556.047924
Ayomide,554.577639
Daine,554.4028099999999
Avrey,541.782016
Truth,541.390661
Uchenna,539.67233
Gracin,537.3083839999999
Chong,536.896691
Marrion,536.009629
Atley,535.308139
Luverne,534.767742
Lunden,534.0009610000001
Manpreet,533.557713
Kodee,533.325804
Kyri,530.500126
Donnelle,530.2115980000001
Koree,529.952254
Riyan,528.259191
Sagan,526.849373
Teran,523.613117
Avory,522.6795549999999
Lior,520.632626
Hoa,519.884708
Alexx,519.454611
Arleigh,515.496346
Brier,514.257293
Lyndall,513.4221719999999
Terin,510.907222
Kallan,509.422604
Maika,505.69662800000003
Trayce,504.464568
Deavion,502.71614500000004
Indy,501.475923
Ellington,500.417504
Feliz,498.52877800000005
Alexiz,498.397451
Neftaly,498.13695199999995
Kaegan,495.71034000000003
Edris,495.269629
Harpreet,495.17132000000004
Jailin,489.922734
Mackinley,489.57928499999997
Kendle,489.30663
Donyae,487.302887
Koi,485.358666
Eastyn,483.916571
Vertis,483.07369800000004
Shady,480.399537
Shondell,480.066762
Monti,479.724204
Ardie,478.622326
Londen,476.61620700000003
Kayde,476.54545099999996
Gabryel,476.224649
Chai,475.69343399999997
Gurpreet,475.593432
Tomie,473.437588
Corley,472.934632
Mishael,469.77639000000005
Shalin,469.497742
Shann,465.46971399999995
Lyndal,462.991251
Jamani,461.954209
Chee,460.36613
Deshay,460.06831900000003
Devlyn,459.95008600000006
Royale,457.35648899999995
Jaidin,450.60592
Dayan,449.43750300000005
Jari,447.90736
Amarii,445.04145700000004
Dilyn,444.089446
Yuval,441.627245
Toryn,441.53306
Rajah,441.09779800000007
Tatem,438.83986500000003
Chidera,438.68247599999995
Amarri,437.771104
Rielly,436.043049
Bobie,435.77100099999996
Miciah,435.07525599999997
Shaden,433.344945
Codee,429.682115
Ottie,429.187857
Haydyn,428.088851
Ary,427.14365499999997
Tajae,425.01433399999996
Aki,421.443184
Haedyn,419.20221499999997
Jasiyah,418.332858
Averey,417.927591
Hyun,415.30969300000004
Jamile,414.255645
Yona,414.021594
Yee,413.353291
Evian,413.201908
Amandeep,413.13403
Vandy,413.08698
Trenell,412.864778
Rei,412.31161099999997
Weslie,411.497454
Ariyan,409.742892
Kemoni,409.04038199999997
Rossi,407.470851
Danel,403.242956
Mandeep,402.949396
Ji,400.092923
Ying,393.82372200000003
Kijana,393.646342
Embry,393.57991
Braelin,393.099757
Ja,390.850973
Shawndell,390.690211
Ronie,390.092485
Jamisen,389.02477000000005
Makell,388.832612
Amori,386.25311800000003
Nuri,384.16821
Caylan,383.148183
Tennessee,381.654643
Linell,381.366956
Giani,375.988521
Rudell,375.713796
Germany,375.639417
Johari,373.180127
Lorrin,371.153873
Lenzie,368.727547
Carle,368.09824100000003
Cayle,366.85755
Bay,366.78347599999995
Ova,366.376736
Cailen,365.54562200000004
Rhylan,364.602121
Zaylin,364.57843399999996
Romelle,364.29039
Brownie,364.152405
Grier,360.964562
Vondell,359.55239
Dannell,358.292428
Aquarius,357.992087
Lavoris,355.809297
Phenix,355.303917
Keylen,353.46958
Cristan,352.183199
Daylyn,349.116573
Riely,348.956187
Rogue,345.658825
Karem,345.429988
Olamide,344.984957
Dawsyn,344.491458
Halsey,343.03444
Samie,341.931736
Matisse,341.13356600000003
Dail,339.916968
Oluwaseun,333.562954
Emanuelle,332.743975
Harlyn,332.741736
Lamari,328.673827
Schylar,326.620692
Kamori,325.88561699999997
Kaydyn,323.87158700000003
Kimoni,323.597517
Tian,323.377615
Alvia,323.013322
Skylan,320.708546
Ajai,319.705461
Tyjae,319.280621
Mc,318.01369700000004
Chae,316.359126
Climmie,315.660886
Kymari,314.835082
Brittin,314.595101
Maven,312.75068799999997
Cheney,310.676913
Jaz,309.144164
Malone,306.877555
Rashi,305.502509
Puneet,304.53058799999997
Juda,304.25879
Rane,302.206012
Dezi,302.144671
Skiler,300.192634
Elya,299.686586
Rieley,299.477082
Tajai,298.65830800000003
Da,297.72328
Deshannon,296.329223
Logyn,294.857509
Wrigley,294.024958
Happy,293.318793
Cyncere,292.784402
Callaway,291.851857
Shell,290.751229
Fontaine,290.606918
Jung,290.346636
Dossie,290.111158
Mayan,288.665664
Odean,288.303758
Baylin,285.992025
Austine,285.236226
Cagney,284.968009
Scotland,284.87334500000003
Cire,283.85796899999997
Harvest,283.76502999999997
Bless,279.90405699999997
Vegas,279.08624100000003
Rael,278.72432799999996
Mahari,277.91089900000003
Perris,276.85125800000003
Reilley,274.809689
Taygen,274.144198
Shey,273.813717
Oluwatosin,272.921476
Jemiah,272.238086
Oluwadamilola,271.919156
Markelle,271.702482
Gianny,271.04938
Jlyn,266.956224
Jeris,265.436691
Jaki,264.965997
Raymie,264.82035
Aldean,262.84141800000003
Gal,262.404053
Hudsyn,262.38387400000005
Deone,260.381575
Deundra,259.756488
Nasiah,259.221112
Donyea,258.361535
Shyler,257.084311
Mattia,256.579433
Navdeep,256.491881
Rameen,255.077342
Wai,253.453871
Eh,253.416862
Paxtyn,249.448529
Shaylon,249.26729
Kamoni,248.38522000000003
Jadis,248.174196
Avyn,247.42768900000002
Kitt,245.909352
Ebbie,244.87078799999998
Amadi,244.356056
Clary,242.554486
Nakota,242.39962000000003
Jacquese,241.528734
Gurnoor,240.486808
Brylin,240.429158
Kippy,239.857843
Sevyn,238.398833
Oluwaseyi,237.92740099999997
Blaike,237.882275
Tagen,237.176663
Taite,236.87790299999998
Dorsie,236.84465600000001
Jolly,236.312084
Yi,236.295558
Dustine,234.84552999999997
Brae,233.826598
Almer,233.285829
Zaelyn,232.471875
Hero,231.412152
Brennyn,231.347168
Coren,230.72669900000002
Sher,229.08631499999998
Geral,228.572754
Aalijah,227.334828
Yanis,227.320088
Rhythm,226.51462
Manjot,225.839838
Airen,225.547785
Giavonni,225.2413
Xan,224.170326
Tahjae,223.988531
Skyeler,223.569504
Kmari,221.48333
Taje,221.45560899999998
Elis,220.61457799999997
Temiloluwa,219.471979
Reise,218.28153199999997
Oriel,217.955725
Kamarri,217.43665099999998
Romey,217.410473
Maciah,215.27753700000002
Jerris,214.92262999999997
Meko,214.46105899999998
Aimar,213.54621699999998
Kehinde,213.479829
Ashtan,212.941711
Oreoluwa,212.510346
Kairee,209.98392
Leotha,209.71863199999999
Jaylenn,209.60613700000002
Celester,208.260526
Zekiah,206.431227
Tarrin,206.426168
Jerzy,206.354985
Nike,205.592726
Domnique,205.590582
Maitland,205.048868
Jaydence,204.723284
Kayton,204.527089
Jourdin,204.32500100000001
Navjot,203.755335
Casy,203.244291
Staley,201.101416
Maxi,200.73452
Jamoni,198.503019
Jasmon,198.31933700000002
Mell,196.973265
Ziyan,196.690605
Keatyn,195.696157
Jaree,195.308517
Day,193.995615
Posey,193.724676
Nemiah,192.017399
Lyrick,191.646052
Jahni,190.47413999999998
Aijalon,190.225153
Oddie,189.784448
Zaide,189.652102
Shamell,188.871923
Cailan,188.560258
Zarin,187.461247
Keymani,186.68358999999998
Preet,186.410048
Ekam,184.853591
Kayler,182.571949
Elim,180.743803
Jeryn,180.375908
Olanda,179.430222
Harbor,178.898323
Oluwanifemi,178.83239
Cledith,177.840925
Mishawn,177.81288500000002
Dae,176.555824
Kenyatte,176.31502
Dai,175.507466
Mekiah,174.61906000000002
Vernis,172.896311
Jianni,172.684582
Kamali,170.8053
Kellis,170.74186
Asheton,169.157509
Raedyn,168.958032
Yardley,168.095399
Donyel,167.97993400000001
Zell,167.76410900000002
Tyjai,167.639099
Eldean,165.70377299999998
Donne,165.617884
Agam,163.897447
Myan,163.712851
Kele,160.98897
Skylen,160.906397
Shadee,160.707526
Connelly,160.684368
Harlo,160.602524
Arrin,159.75081200000002
Quanta,158.978282
Caylor,158.40623200000002
Gaylin,157.975626
Soua,157.769673
Darly,157.26446299999998
Yoltzin,156.963144
Zohar,156.90360800000002
Yarden,156.287076
Erian,155.82024099999998
Jermany,155.65986999999998
Currie,155.253736
Mechel,155.215298
Camauri,154.974017
Siah,154.888615
Lakoda,154.828139
Demarie,153.988438
Rumi,153.97900800000002
Raeden,153.94308700000002
Senai,153.85796200000001
Kindred,153.765557
Deondrea,153.67578799999998
Babe,153.297631
March,152.466596
Maddyx,152.039973
Jorryn,150.862802
Adisa,150.515376
Wen,150.356684
Audi,149.393881
Shaquel,148.738388
Michiah,147.88683999999998
Chandlar,147.490974
Moe,147.377881
Arieon,146.850076
Yarnell,146.06116200000002
Ayo,145.32091200000002
Chey,145.192942
Clemence,144.811212
Ajene,144.374216
Tkai,142.846541
Lawan,142.608669
Zannie,142.50946000000002
Denym,142.036011
Sayre,141.358156
Kamarii,141.121253
Tavi,141.092512
Kymoni,141.056165
Zaiah,141.048316
Amaurie,141.0157
Paiden,140.079349
Aamari,139.050451
Tris,138.63448
Rorey,137.365923
Meiko,135.129167
Asuncion,134.85547
Jodey,134.352625
Declyn,133.15338899999998
Camil,132.816153
Oluwademilade,132.098795
Duanne,131.55023400000002
Rudie,131.45638
Lauris,131.241428
Child,130.19941
Jaydeen,130.122524
Kery,129.818244
Nesta,129.362506
Merrit,129.327225
Ermal,128.612374
Kaisyn,128.21277
Neziah,128.1557
Lattie,128.141635
Nyaire,128.094468
Damarie,127.81577
Murle,127.22631799999999
Sekai,127.07803100000001
Merion,126.77774
Danyl,126.013529
Areon,125.88815100000001
Seville,125.22815
Freddi,125.185001
Ruari,125.16633700000001
Rayen,125.095867
Kadian,124.925028
Brookes,124.42328300000001
Rilley,124.084696
Gaynor,123.67576499999998
Sopheap,123.180484
Oluwatomisin,123.170318
Shayde,122.862738
Altair,122.254598
Jayel,122.211454
Foye,121.550891
Lovelle,121.29540800000001
Jasmond,121.26586599999999
Larin,121.13759499999999
Malijah,121.086413
Brenn,120.368931
Maziah,120.241444
Chapel,120.153175
Linnell,120.10533799999999
Tahje,118.784545
Peyson,118.29403
Jacquise,118.139899
Rease,118.050374
Breslin,117.246619
Remmy,117.21327600000001
Sukhman,117.077497
Atari,116.993573
Shaquelle,116.14172099999999
Brighten,114.215101
Jaton,113.862602
Jahdai,113.124261
Deovion,113.003055
Maui,112.190951
Ronne,111.65783700000001
Sehaj,111.28554299999999
Tagan,111.076315
Luvern,110.74609299999999
Lyan,110.250095
Peniel,110.21606899999999
Ryin,110.061346
Skylur,108.968124
Skylier,108.758081
Oluwadarasimi,108.35386100000001
Psalm,108.23088200000001
Aidynn,107.34451399999999
Juliani,107.272545
Johany,107.173152
Rainn,106.336104
Liron,106.120731
Vail,106.056996
Gillie,105.527474
Armari,104.214954
Kache,104.096492
Eudell,103.921273
Mikele,103.518292
Alija,103.22997600000001
Carel,102.758657
Olayinka,102.625879
Eaden,102.319579
Inioluwa,101.384201
Gwin,101.243364
Yacine,100.2304
Aeon,100.21104
